Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Year,Value (million US)
G23,Andean Community,CIO,Other CIS (CIS11),AGFOOF,Other food products,M,2015,3
G23,Andean Community,E28,European Union (28),MIFU,Fuels,M,2015,563
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),MI,Fuels and mining products,M,2015,63
G23,Andean Community,CIS,Commonwealth of Independent States (CIS),MACHOC,Other chemicals,X,2015,7
G23,Andean Community,CIO,Other CIS (CIS11),MI,Fuels and mining products,M,2015,0
G23,Andean Community,CIO,Other CIS (CIS11),AGFOOF,Other food products,X,2015,86
G23,Andean Community,CIO,Other CIS (CIS11),MIOR,Ores and other minerals,X,2015,9
G23,Andean Community,CIO,Other CIS (CIS11),AG,Agricultural products,X,2015,133
G23,Andean Community,ASI,Asia,AGFO,Food,M,2015,607
G23,Andean Community,OEU,Other Europe,AG,Agricultural products,M,2015,48
G23,Andean Community,ASI,Asia,AG,Agricultural products,X,2015,4244
G23,Andean Community,ANZ,Australia and New Zealand,MIFU,Fuels,M,2015,1
G23,Andean Community,CSC,South and Central America,AGFOOF,Other food products,X,2015,3523
G23,Andean Community,OEU,Other Europe,MINF,-Non--ferrous metals-,X,2015,23
G23,Andean Community,ASI,Asia,MI,Fuels and mining products,X,2015,13655
G23,Andean Community,ANZ,Australia and New Zealand,MIOR,Ores and other minerals,X,2015,111
G23,Andean Community,OEU,Other Europe,AG,Agricultural products,X,2015,401
G23,Andean Community,ASI,Asia,AGFOOF,Other food products,X,2015,2522
G23,Andean Community,OEU,Other Europe,MAIS,Iron and steel,X,2015,13
G23,Andean Community,ASI,Asia,MIFU,Fuels,M,2015,543
G23,Andean Community,ANZ,Australia and New Zealand,AGRA,Raw materials,X,2015,18
G23,Andean Community,ASI,Asia,MAIS,Iron and steel,M,2015,2672
G23,Andean Community,ASI,Asia,AGFOOF,Other food products,M,2015,434
G23,Andean Community,ANZ,Australia and New Zealand,AG,Agricultural products,X,2015,190
G23,Andean Community,ASI,Asia,MINF,-Non--ferrous metals-,M,2015,309
G23,Andean Community,ANZ,Australia and New Zealand,AGRA,Raw materials,M,2015,2
G23,Andean Community,OEU,Other Europe,MI,Fuels and mining products,X,2015,798
G23,Andean Community,ASI,Asia,MIFU,Fuels,X,2015,3705
G23,Andean Community,OEU,Other Europe,MACHOC,Other chemicals,X,2015,6
G23,Andean Community,ASI,Asia,MI,Fuels and mining products,M,2015,902
G23,Andean Community,OEU,Other Europe,AGFO,Food,X,2015,381
G23,Andean Community,CSC,South and Central America,MACH,Chemicals,M,2015,4836
G23,Andean Community,OEU,Other Europe,MIOR,Ores and other minerals,M,2015,2
G23,Andean Community,ASI,Asia,AG,Agricultural products,M,2015,792
G23,Andean Community,ANZ,Australia and New Zealand,MINF,-Non--ferrous metals-,M,2015,13
G23,Andean Community,ANZ,Australia and New Zealand,AGFO,Food,X,2015,172
G23,Andean Community,CSC,South and Central America,MACH,Chemicals,X,2015,3747
G23,Andean Community,CSC,South and Central America,MAIS,Iron and steel,M,2015,946
G23,Andean Community,OEU,Other Europe,MIOR,Ores and other minerals,X,2015,34
G23,Andean Community,ANZ,Australia and New Zealand,MACH,Chemicals,X,2015,8
G23,Andean Community,ANZ,Australia and New Zealand,MIFU,Fuels,X,2015,0
