DBA,CUISINE DESCRIPTION,VIOLATION CODE,VIOLATION DESCRIPTION,SCORE,BORO,BUILDING,STREET,ZIPCODE,Address,
ANNEX,American,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,69,BROOKLYN,753,FULTON ST,11217,"753 FULTON ST, BROOKLYN, New York City, 11217",
FAMILY CUCINA,Bagels/Pretzels,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,55,STATEN ISLAND,170,MCCLEAN AVE,10305,"170 MCCLEAN AVE, STATEN ISLAND, New York City, 10305",
U WAY,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,35,MANHATTAN,74,5 AVENUE,10011,"74 5 AVENUE, MANHATTAN, New York City, 10011",
MY CORAL RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",20,BROOKLYN,5401,4 AVENUE,11220,"5401 4 AVENUE, BROOKLYN, New York City, 11220",
APERION PRODUCTION,Jewish/Kosher,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",43,BROOKLYN,777,KENT AVENUE,11205,"777 KENT AVENUE, BROOKLYN, New York City, 11205",
CROWN FRIED CHICKEN,Chicken,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",55,BROOKLYN,1109,CLARKSON AVE,11212,"1109 CLARKSON AVE, BROOKLYN, New York City, 11212",
GOLDEN CARRIAGE,Korean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,45,QUEENS,3527,FARRINGTON STREET,11354,"3527 FARRINGTON STREET, QUEENS, New York City, 11354",
OLD BAKU,Eastern European,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,33,BROOKLYN,115,DITMAS AVENUE,11218,"115 DITMAS AVENUE, BROOKLYN, New York City, 11218",
FORMOSA,Asian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,76,MANHATTAN,34,ELDRIDGE ST,10002,"34 ELDRIDGE ST, MANHATTAN, New York City, 10002",
BROADWAY BAKERY,Bakery,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,44,QUEENS,8109,41 AVENUE,11373,"8109 41 AVENUE, QUEENS, New York City, 11373",
PAT'S FLAVORS KRUSS,Caribbean,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",33,BROOKLYN,754,LINDEN BLVD,11203,"754 LINDEN BLVD, BROOKLYN, New York City, 11203",
NYONYA,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,39,BROOKLYN,2322,86 STREET,11214,"2322 86 STREET, BROOKLYN, New York City, 11214",
NICE PIZZA,Pizza,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",49,BROOKLYN,340,FRANKLIN AVENUE,11238,"340 FRANKLIN AVENUE, BROOKLYN, New York City, 11238",
FANTASTIC BAGELS,Bagels/Pretzels,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,50,BROOKLYN,8614,4TH AVE,11209,"8614 4TH AVE, BROOKLYN, New York City, 11209",
NEW RANCHITO,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04M,Live roaches present in facility's food and/or non-food areas.,56,MANHATTAN,924,AMSTERDAM AVENUE,10025,"924 AMSTERDAM AVENUE, MANHATTAN, New York City, 10025",
Q MARQET,American,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",88,MANHATTAN,38,E 98TH ST,10029,"38 E 98TH ST, MANHATTAN, New York City, 10029",
BLOSSOM,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,65,MANHATTAN,187,9 AVENUE,10011,"187 9 AVENUE, MANHATTAN, New York City, 10011",
CAFE ARTE,American,04M,Live roaches present in facility's food and/or non-food areas.,41,MANHATTAN,20,PINE ST,10005,"20 PINE ST, MANHATTAN, New York City, 10005",
THE COOKIE HOUSE,Bagels/Pretzels,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",49,BROOKLYN,5328,KINGS PLAZA CENTER,11234,"5328 KINGS PLAZA CENTER, BROOKLYN, New York City, 11234",
DELIGHT 28 RESTAURANT,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,77,MANHATTAN,2830,PELL STREET,10013,"2830 PELL STREET, MANHATTAN, New York City, 10013",
HADI RESTAURANT,Middle Eastern,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40,BROOKLYN,683,CONEY ISLAND AVE,11218,"683 CONEY ISLAND AVE, BROOKLYN, New York City, 11218",
TBAAR,"Juice, Smoothies, Fruit Salads",04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,25,BROOKLYN,6317,8TH AVE,11220,"6317 8TH AVE, BROOKLYN, New York City, 11220",
BASURERO,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",45,QUEENS,3217,STEINWAY STREET,11103,"3217 STEINWAY STREET, QUEENS, New York City, 11103",
ROYAL CUISINE YARD FOOD,Caribbean,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",89,BROOKLYN,324A,UTICA AVE,11213,"324A UTICA AVE, BROOKLYN, New York City, 11213",
GRAND CENTRAL STAR CAFE,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,68,MANHATTAN,463,LEXINGTON AVENUE,10017,"463 LEXINGTON AVENUE, MANHATTAN, New York City, 10017",
NEW TANDOORI HUT,Indian,04M,Live roaches present in facility's food and/or non-food areas.,53,QUEENS,11908,94TH AVE,11419,"11908 94TH AVE, QUEENS, New York City, 11419",
NEW GOOD TASTE CHINESE RESTAURANT,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,35,MANHATTAN,3371,BROADWAY,10031,"3371 BROADWAY, MANHATTAN, New York City, 10031",
GIACOMO FINE FOODS,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,41,MANHATTAN,269,WEST   72 STREET,10069,"269 WEST   72 STREET, MANHATTAN, New York City, 10069",
MINT,Jewish/Kosher,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,46,BROOKLYN,535,KINGS HIGHWAY,11223,"535 KINGS HIGHWAY, BROOKLYN, New York City, 11223",
YUMMY TACO,Tex-Mex,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",35,QUEENS,11404,SUTPHIN BLVD,11434,"11404 SUTPHIN BLVD, QUEENS, New York City, 11434",
A SAN FUZHOU RESTAURANT,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,33,MANHATTAN,7,ELDRIDGE STREET,10002,"7 ELDRIDGE STREET, MANHATTAN, New York City, 10002",
CUTTING BOARD,Chinese/Japanese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,47,MANHATTAN,53,Bayard St,10013,"53 Bayard St, MANHATTAN, New York City, 10013",
JEBON,Asian,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",53,MANHATTAN,15,ST MARKS PLACE,10003,"15 ST MARKS PLACE, MANHATTAN, New York City, 10003",
NEW TOPAZ,Thai,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,64,MANHATTAN,127,W 56TH ST,10019,"127 W 56TH ST, MANHATTAN, New York City, 10019",
SERAFINA LUDLOW,Italian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,29,MANHATTAN,98,RIVINGTON ST,10002,"98 RIVINGTON ST, MANHATTAN, New York City, 10002",
GREEN PAVILION RESTAURANT & SPORTS LOUNGE,American,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",40,BROOKLYN,4307,18 AVENUE,11218,"4307 18 AVENUE, BROOKLYN, New York City, 11218",
PNS SOUL FOOD,Soul Food,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,29,BROOKLYN,344,FRANKLIN AVE,11238,"344 FRANKLIN AVE, BROOKLYN, New York City, 11238",
TOTAL AMAZING GRACE,Caribbean,04M,Live roaches present in facility's food and/or non-food areas.,40,BROOKLYN,3113,CHURCH AVE,11226,"3113 CHURCH AVE, BROOKLYN, New York City, 11226",
FILLMORE DELICATESSEN,Sandwiches/Salads/Mixed Buffet,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",33,MANHATTAN,1668,3RD AVE,10128,"1668 3RD AVE, MANHATTAN, New York City, 10128",
2 BROS PIZZA,Pizza,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,75,QUEENS,16417,JAMAICA AVE,11432,"16417 JAMAICA AVE, QUEENS, New York City, 11432",
LIANG'S SEAFOOD RESTAURANT,Seafood,04M,Live roaches present in facility's food and/or non-food areas.,56,BROOKLYN,4922,8TH AVE,11220,"4922 8TH AVE, BROOKLYN, New York City, 11220",
EL SABROSO RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04M,Live roaches present in facility's food and/or non-food areas.,12,MANHATTAN,265,W 37TH ST,10018,"265 W 37TH ST, MANHATTAN, New York City, 10018",
NATHAN'S,Hotdogs,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,35,BROOKLYN,5100,KINGS PLZ,11234,"5100 KINGS PLZ, BROOKLYN, New York City, 11234",
SAN MARZANO,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,39,MANHATTAN,117,2 AVENUE,10003,"117 2 AVENUE, MANHATTAN, New York City, 10003",
BOMBAY KITCHEN INDIAN CUISINE,Indian,04M,Live roaches present in facility's food and/or non-food areas.,55,BROOKLYN,733,KNICKERBOCKER AVENUE,11221,"733 KNICKERBOCKER AVENUE, BROOKLYN, New York City, 11221",
DUNKIN' DONUTS,Donuts,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,32,BRONX,1111,E TREMONT AVE,10460,"1111 E TREMONT AVE, BRONX, New York City, 10460",
"IRIS TEA & BAKERY, QUICKLY",Bakery,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",38,QUEENS,3907,PRINCE ST,11354,"3907 PRINCE ST, QUEENS, New York City, 11354",
SUSHI TOKYO,Jewish/Kosher,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,57,BROOKLYN,1360,CONEY ISLAND AVE,11230,"1360 CONEY ISLAND AVE, BROOKLYN, New York City, 11230",
T BAAR,"Juice, Smoothies, Fruit Salads",04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,96,BROOKLYN,4823,8 AVENUE,11220,"4823 8 AVENUE, BROOKLYN, New York City, 11220",
REPOSTERIA NITIN,Bakery,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,39,BRONX,2312,GRAND CONCOURSE,10458,"2312 GRAND CONCOURSE, BRONX, New York City, 10458",
THAI SELECT,Thai,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,62,MANHATTAN,472,9TH AVE,10018,"472 9TH AVE, MANHATTAN, New York City, 10018",
LUCKY STARS BAKERY,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,57,MANHATTAN,280,GRAND ST,10002,"280 GRAND ST, MANHATTAN, New York City, 10002",
DANIEL'S BAGEL,Bagels/Pretzels,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,49,MANHATTAN,569,THIRD AVENUE,10016,"569 THIRD AVENUE, MANHATTAN, New York City, 10016",
GOLDEN WOK,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,69,MANHATTAN,1770,AMSTERDAM AVE,10031,"1770 AMSTERDAM AVE, MANHATTAN, New York City, 10031",
ROASTING PLANT,Caf̩/Coffee/Tea,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,50,MANHATTAN,81,ORCHARD STREET,10002,"81 ORCHARD STREET, MANHATTAN, New York City, 10002",
TWO DOORS TAVERN,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,49,MANHATTAN,1576,3 AVENUE,10128,"1576 3 AVENUE, MANHATTAN, New York City, 10128",
PRIMITOS RESTAURANT,Spanish,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",13,BROOKLYN,191,UTICA AVENUE,11213,"191 UTICA AVENUE, BROOKLYN, New York City, 11213",
ROYS REST & SPORTS BAR,"Bottled beverages, including water, sodas, juices, etc.",04M,Live roaches present in facility's food and/or non-food areas.,43,QUEENS,11101,LIBERTY AVENUE,11419,"11101 LIBERTY AVENUE, QUEENS, New York City, 11419",
DOS CAMINOS THIRD,Mexican,04M,Live roaches present in facility's food and/or non-food areas.,50,MANHATTAN,825,3 AVENUE,10022,"825 3 AVENUE, MANHATTAN, New York City, 10022",
BAWARCHI INDIAN CUISINE,Indian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,35,MANHATTAN,1546,MADISON AVE,10029,"1546 MADISON AVE, MANHATTAN, New York City, 10029",
COCINA LATINA RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",52,BRONX,650,WESTCHESTER AVE,10455,"650 WESTCHESTER AVE, BRONX, New York City, 10455",
GREAT WALL NO 1 KITCHEN,Chinese,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",53,BROOKLYN,954,MANHATTAN AVENUE,11222,"954 MANHATTAN AVENUE, BROOKLYN, New York City, 11222",
Bakery 88,Bakery,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",33,BROOKLYN,5711,8TH AVE,11220,"5711 8TH AVE, BROOKLYN, New York City, 11220",
EXOTIC ROTI EXPRESS,Caribbean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,6,BROOKLYN,807,NOSTRAND AVE,11225,"807 NOSTRAND AVE, BROOKLYN, New York City, 11225",
YO SUSHI,Japanese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,60,MANHATTAN,208,3RD AVE,10003,"208 3RD AVE, MANHATTAN, New York City, 10003",
HARLEM FOOD COURT,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,46,MANHATTAN,66,W 116TH ST,10026,"66 W 116TH ST, MANHATTAN, New York City, 10026",
MAHARLIKA,Filipino,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",41,MANHATTAN,111,FIRST AVE,10003,"111 FIRST AVE, MANHATTAN, New York City, 10003",
PARK VIEW DINER,American,04M,Live roaches present in facility's food and/or non-food areas.,42,BROOKLYN,2939,CROPSEY AVE,11214,"2939 CROPSEY AVE, BROOKLYN, New York City, 11214",
LE PAIN QUOTIDIEN,Caf̩/Coffee/Tea,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,79,MANHATTAN,2098,BROADWAY,10023,"2098 BROADWAY, MANHATTAN, New York City, 10023",
SALLY'S COFFEE SHOP,Middle Eastern,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",33,BROOKLYN,8501,3 AVENUE,11209,"8501 3 AVENUE, BROOKLYN, New York City, 11209",
THE CORNER PIZZA SHOP,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,34,BRONX,3399,JEROME AVE,10467,"3399 JEROME AVE, BRONX, New York City, 10467",
JOEY PEPPERONI'S PIZZA,Pizza,04M,Live roaches present in facility's food and/or non-food areas.,31,BRONX,114,E FORDHAM RD,10468,"114 E FORDHAM RD, BRONX, New York City, 10468",
ZHIQING ACTIVITY CENTER,Asian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,35,QUEENS,13525,NORTHERN BLVD,11354,"13525 NORTHERN BLVD, QUEENS, New York City, 11354",
NEW UNIVERSITY DELI,Delicatessen,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,16,MANHATTAN,603,WEST  168 STREET,10032,"603 WEST  168 STREET, MANHATTAN, New York City, 10032",
NABLUS SWEETS,Middle Eastern,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",38,BROOKLYN,6812,5 AVENUE,11220,"6812 5 AVENUE, BROOKLYN, New York City, 11220",
PARTY WELL REST & ORIENTAL BAKERY,Korean,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",45,QUEENS,14932,41ST AVE,11355,"14932 41ST AVE, QUEENS, New York City, 11355",
MAMA LETI'S,Spanish,04M,Live roaches present in facility's food and/or non-food areas.,6,QUEENS,4007,JUNCTION BOULEVARD,11368,"4007 JUNCTION BOULEVARD, QUEENS, New York City, 11368",
JUNIPER,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,13,BROOKLYN,112,BERRY STREET,11211,"112 BERRY STREET, BROOKLYN, New York City, 11211",
ORO BAR RESTAURANT,Spanish,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,43,BRONX,950,PROSPECT AVE,10459,"950 PROSPECT AVE, BRONX, New York City, 10459",
TARALLUCCI E VINO,Italian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,96,MANHATTAN,15,EAST 18 STREET,10003,"15 EAST 18 STREET, MANHATTAN, New York City, 10003",
TACO BELL,American,04M,Live roaches present in facility's food and/or non-food areas.,50,BROOKLYN,8625,4TH AVE,11209,"8625 4TH AVE, BROOKLYN, New York City, 11209",
CASTRO,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04M,Live roaches present in facility's food and/or non-food areas.,45,MANHATTAN,104,DYCKMAN STREET,10040,"104 DYCKMAN STREET, MANHATTAN, New York City, 10040",
ORIGINAL PUGLIA RISTORANTE ITALIANO,Italian,04M,Live roaches present in facility's food and/or non-food areas.,11,MANHATTAN,189,HESTER STREET,10013,"189 HESTER STREET, MANHATTAN, New York City, 10013",
MCDERMOTT'S PUB,American,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",48,BRONX,2634,EAST TREMONT AVENUE,10461,"2634 EAST TREMONT AVENUE, BRONX, New York City, 10461",
AAA KENNEDY FRIED CHICKEN,Chicken,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",40,STATEN ISLAND,416,JERSEY ST,10301,"416 JERSEY ST, STATEN ISLAND, New York City, 10301",
ARMANDO'S PIZZA,Pizza,04M,Live roaches present in facility's food and/or non-food areas.,33,BROOKLYN,1413,ROCKAWAY PARKWAY,11236,"1413 ROCKAWAY PARKWAY, BROOKLYN, New York City, 11236",
A & J DELI FISH,Spanish,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",29,BRONX,128,E 174TH ST,10457,"128 E 174TH ST, BRONX, New York City, 10457",
BEN'S PIZZA AND RESTAURANT,Pizza,04M,Live roaches present in facility's food and/or non-food areas.,78,BROOKLYN,8125,3 AVENUE,11209,"8125 3 AVENUE, BROOKLYN, New York City, 11209",
CHECKERS,Hamburgers,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,43,BROOKLYN,491,NOSTRAND AVE,11216,"491 NOSTRAND AVE, BROOKLYN, New York City, 11216",
NHA-TRANG CENTRE VIETNAM RESTAURANT,Vietnamese/Cambodian/Malaysia,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,13,MANHATTAN,148,CENTRE STREET,10013,"148 CENTRE STREET, MANHATTAN, New York City, 10013",
JIM'S CHINA KING,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,33,QUEENS,563,SENECA AVENUE,11385,"563 SENECA AVENUE, QUEENS, New York City, 11385",
BIG WONG RESTAURANT,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,54,MANHATTAN,67,MOTT ST,10013,"67 MOTT ST, MANHATTAN, New York City, 10013",
KOR TOR MOR,Thai,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",55,BROOKLYN,204,SMITH ST,11201,"204 SMITH ST, BROOKLYN, New York City, 11201",
BAGEL CLUB,Delicatessen,04M,Live roaches present in facility's food and/or non-food areas.,40,QUEENS,20814,CROSS ISLAND PARKWAY,11360,"20814 CROSS ISLAND PARKWAY, QUEENS, New York City, 11360",
EVILOLIVE PIZZA BAR,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,48,BROOKLYN,198,UNION AVENUE,11211,"198 UNION AVENUE, BROOKLYN, New York City, 11211",
MASAL CAFE & LOUNGE,Turkish,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",53,BROOKLYN,1901,EMMONS AVENUE,11235,"1901 EMMONS AVENUE, BROOKLYN, New York City, 11235",
NUEVA NITIN BAKERY,Bakery,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",32,QUEENS,93-28,WHITNEY AVE,11373,"93-28 WHITNEY AVE, QUEENS, New York City, 11373",
LEGEND COOKHOUSE,Caribbean,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,38,QUEENS,13511,ROCKAWAY BOULEVARD,11420,"13511 ROCKAWAY BOULEVARD, QUEENS, New York City, 11420",
ELEGANTE RESTAURANT,Pizza/Italian,04M,Live roaches present in facility's food and/or non-food areas.,43,QUEENS,9201,ROCKAWAY BEACH BOULEVARD,11693,"9201 ROCKAWAY BEACH BOULEVARD, QUEENS, New York City, 11693",
VEGETARIAN GINGER,Vegetarian,04M,Live roaches present in facility's food and/or non-food areas.,73,BROOKLYN,128,MONTAGUE STREET,11201,"128 MONTAGUE STREET, BROOKLYN, New York City, 11201",
SICHUAN HOT POT CUISINE,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,59,MANHATTAN,34,PELL ST,10013,"34 PELL ST, MANHATTAN, New York City, 10013",
THE ASTORIA WORLD MANOR,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,41,QUEENS,2522,_ASTORIA BOULEVARD,11102,"2522 _ASTORIA BOULEVARD, QUEENS, New York City, 11102",
PITKIN BONAO GRILL RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,45,BROOKLYN,2678,PITKIN AVE,11208,"2678 PITKIN AVE, BROOKLYN, New York City, 11208",
NEW VICTORY RESTAURANT,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,66,BROOKLYN,4803,5 AVENUE,11220,"4803 5 AVENUE, BROOKLYN, New York City, 11220",
Xiaojiangnan Food,Chinese,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",89,QUEENS,4002,BOWNE ST,11354,"4002 BOWNE ST, QUEENS, New York City, 11354",
NEW WING WAH BAKERY,Bakery,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",51,MANHATTAN,246,GRAND STREET,10002,"246 GRAND STREET, MANHATTAN, New York City, 10002",
GALICIA RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04M,Live roaches present in facility's food and/or non-food areas.,12,MANHATTAN,4083,BROADWAY,10032,"4083 BROADWAY, MANHATTAN, New York City, 10032",
DOMINIQUE ANSEL BAKERY,French,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,43,MANHATTAN,189,SPRING STREET,10012,"189 SPRING STREET, MANHATTAN, New York City, 10012",
TALK OF THE TOWN RESTAURANT,Indian,04M,Live roaches present in facility's food and/or non-food areas.,10,QUEENS,3721,72 STREET,11372,"3721 72 STREET, QUEENS, New York City, 11372",
PEKING KITCHEN,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,39,BRONX,724,LYDIG AVENUE,10462,"724 LYDIG AVENUE, BRONX, New York City, 10462",
LA MINITA RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04M,Live roaches present in facility's food and/or non-food areas.,6,MANHATTAN,3855,10 AVENUE,10034,"3855 10 AVENUE, MANHATTAN, New York City, 10034",
